"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Hydraulic turbine","Megawatt hours","210","units ","0","v52300578","8.1.3","36439655","","","","0"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Wind power turbine","Megawatt hours","210","units ","0","v52300579","8.1.5","53420","","","","0"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Total thermal generation","Megawatt hours","210","units ","0","v52300580","8.1.6","556334","","","","0"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Conventional steam turbine","Megawatt hours","210","units ","0","v52300581","8.1.7","544838","","","","0"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Internal combustion turbine","Megawatt hours","210","units ","0","v52300582","8.1.9","11496","","","","0"
"2005","Manitoba","2016A000246","Total all classes of electricity producer","Combustion turbine","Megawatt hours","210","units ","0","v52300576","8.1.10","0","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300583","8.2.1","36939873","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Total hydro, tidal, wind, solar and other generation","Megawatt hours","210","units ","0","v52300585","8.2.2","36493075","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Hydraulic turbine","Megawatt hours","210","units ","0","v52300586","8.2.3","36439655","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Wind power turbine","Megawatt hours","210","units ","0","v52300587","8.2.5","53420","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Total thermal generation","Megawatt hours","210","units ","0","v52300588","8.2.6","446798","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Conventional steam turbine","Megawatt hours","210","units ","0","v52300589","8.2.7","435302","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Internal combustion turbine","Megawatt hours","210","units ","0","v52300590","8.2.9","11496","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, electric utilities","Combustion turbine","Megawatt hours","210","units ","0","v52300584","8.2.10","0","","","","0"
"2005","Manitoba","2016A000246","Electricity producer, industries","Total all types of electricity generation","Megawatt hours","210","units ","0","v52300591","8.3.1","109536","","","","0"
